City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Port Lincoln,AU,2021-04-13 06:18:16,-34.7333,135.8667,68.11,75,58,19.44
127,Hamilton,US,2021-04-13 06:14:25,39.1834,-84.5333,50.0,76,20,4.61
128,Brae,GB,2021-04-13 06:18:16,60.3964,-1.353,37.4,81,20,8.05
129,Luderitz,NA,2021-04-13 06:18:16,-26.6481,15.1594,80.51,30,0,11.81
130,Sanchursk,RU,2021-04-13 06:18:17,56.9413,47.2499,47.97,92,99,8.43
131,Charters Towers,AU,2021-04-13 06:18:17,-20.1,146.2667,83.5,38,44,7.78
132,Golden,US,2021-04-13 06:18:17,39.7555,-105.2211,39.0,60,90,4.12
133,Souillac,MU,2021-04-13 06:18:18,-20.5167,57.5167,82.4,74,40,9.22
134,Maningrida,AU,2021-04-13 06:18:18,-12.0667,134.2667,90.45,37,3,5.55
135,Pabrade,LT,2021-04-13 06:18:18,55.0,25.7833,44.01,87,90,9.22
136,Doctor Arroyo,MX,2021-04-13 06:18:19,23.6667,-100.1833,66.58,63,35,6.33
137,Innisfail,AU,2021-04-13 06:15:03,-17.5333,146.0333,77.41,80,15,7.14
138,Tiksi,RU,2021-04-13 06:18:19,71.6872,128.8694,20.59,73,29,12.82
139,Upernavik,GL,2021-04-13 06:18:20,72.7868,-56.1549,17.26,95,100,12.91
140,Ostrovnoy,RU,2021-04-13 06:18:20,68.0531,39.5131,32.4,95,100,5.03
141,Bluff,NZ,2021-04-13 06:18:20,-46.6,168.3333,54.0,95,97,5.19
142,Port Blair,IN,2021-04-13 06:18:20,11.6667,92.75,86.25,66,50,10.27
143,Akyab,MM,2021-04-13 06:18:21,20.15,92.9,87.06,58,30,13.53
144,Avarua,CK,2021-04-13 06:18:21,-21.2078,-159.775,73.4,94,20,2.3
145,Podivin,CZ,2021-04-13 06:18:22,48.8255,16.8482,39.99,97,98,3.0
146,Byron Bay,AU,2021-04-13 06:18:22,-28.65,153.6167,71.6,53,1,9.22
147,Dikson,RU,2021-04-13 06:18:22,73.5069,80.5464,27.16,94,100,22.59
148,Sterling,US,2021-04-13 06:13:49,39.0062,-77.4286,50.0,87,90,4.61
149,Paamiut,GL,2021-04-13 06:18:23,61.994,-49.6678,29.5,77,33,7.2
150,Los Llanos De Aridane,ES,2021-04-13 06:18:23,28.6585,-17.9182,68.0,73,0,2.13
151,Nantucket,US,2021-04-13 06:18:23,41.2835,-70.0995,43.0,87,20,13.8
152,Porto Walter,BR,2021-04-13 06:18:24,-8.2686,-72.7439,71.29,99,100,2.39
153,Cedar City,US,2021-04-13 06:18:24,37.6775,-113.0619,44.01,28,1,3.09
154,Broome,US,2021-04-13 06:18:25,42.2506,-75.833,45.0,93,90,4.61
155,Ponta Do Sol,PT,2021-04-13 06:18:25,32.6667,-17.1,64.0,84,97,3.0
156,Lyuban,BY,2021-04-13 06:18:25,52.7985,28.0048,49.37,74,99,7.31
157,Griffith,US,2021-04-13 06:18:26,41.5284,-87.4237,46.4,75,1,3.44
158,Kavaratti,IN,2021-04-13 06:18:26,10.5669,72.642,83.26,69,64,1.7
159,Gobabis,NA,2021-04-13 06:18:26,-22.45,18.9667,61.56,41,0,8.72
160,College,US,2021-04-13 06:18:27,64.8569,-147.8028,42.8,69,75,3.44
161,Carauari,BR,2021-04-13 06:18:27,-4.8828,-66.8958,73.49,95,94,2.17
162,Waingapu,ID,2021-04-13 06:18:27,-9.6567,120.2641,83.89,70,8,7.31
163,Karlstad,SE,2021-04-13 06:18:27,59.3793,13.5036,32.0,100,75,3.44
164,Tateyama,JP,2021-04-13 06:18:28,34.9833,139.8667,64.4,77,75,19.57
165,Isangel,VU,2021-04-13 06:18:28,-19.55,169.2667,86.0,79,40,2.28
166,Arraial Do Cabo,BR,2021-04-13 06:18:28,-22.9661,-42.0278,76.77,79,24,16.53
167,Salinas,US,2021-04-13 06:18:29,36.6777,-121.6555,51.8,82,90,8.05
168,Palu,ID,2021-04-13 06:18:29,-0.8917,119.8707,85.14,74,73,5.93
169,San Patricio,US,2021-04-13 06:18:30,28.017,-97.5169,77.0,94,90,11.5
170,Belyy Yar,RU,2021-04-13 06:18:30,53.6039,91.3903,42.8,56,40,13.42
171,Cherskiy,RU,2021-04-13 06:18:30,68.75,161.3,0.86,83,30,2.17
172,Lorengau,PG,2021-04-13 06:18:31,-2.0226,147.2712,76.08,90,100,4.5
173,Padang,ID,2021-04-13 06:18:31,-0.9492,100.3543,87.8,70,20,5.75
174,Georgetown,MY,2021-04-13 06:18:31,5.4112,100.3354,90.0,62,40,6.91
175,Chokurdakh,RU,2021-04-13 06:18:32,70.6333,147.9167,9.01,87,31,8.52
176,Stornoway,GB,2021-04-13 06:18:32,58.2093,-6.3865,33.01,86,75,2.3
177,Dmanisi,GE,2021-04-13 06:18:32,41.5251,44.3472,55.4,71,90,14.97
178,Sun City,US,2021-04-13 06:18:33,33.5975,-112.2718,77.0,25,1,10.36
179,Gumdag,TM,2021-04-13 06:18:33,39.2061,54.5906,72.91,19,0,24.56
180,Moree,AU,2021-04-13 06:18:33,-29.4667,149.85,77.0,27,2,5.75
181,Omboue,GA,2021-04-13 06:18:34,-1.5746,9.2618,78.1,91,100,5.46
182,Palasbari,IN,2021-04-13 06:18:34,26.1361,91.5486,86.0,51,20,8.03
183,Beroroha,MG,2021-04-13 06:18:34,-21.6667,45.1667,80.2,58,78,8.5
184,Hirara,JP,2021-04-13 06:18:35,24.8,125.2833,80.6,69,20,8.05
185,Ancud,CL,2021-04-13 06:18:35,-41.8697,-73.8203,60.01,100,40,8.05
186,Takoradi,GH,2021-04-13 06:18:35,4.8845,-1.7554,80.13,85,89,7.83
187,Carutapera,BR,2021-04-13 06:18:36,-1.195,-46.02,75.78,93,100,5.26
188,Hami,CN,2021-04-13 06:13:50,42.8,93.45,59.13,14,0,1.79
189,Xuddur,SO,2021-04-13 06:18:36,4.1213,43.8894,81.79,55,86,12.33
190,Mount Isa,AU,2021-04-13 06:18:37,-20.7333,139.5,89.6,10,31,4.61
191,Tacuarembo,UY,2021-04-13 06:18:37,-31.7333,-55.9833,51.4,88,0,2.95
192,Russell,US,2021-04-13 06:18:37,32.3502,-85.1999,60.01,87,1,4.61
193,Veraval,IN,2021-04-13 06:18:37,20.9,70.3667,90.79,37,50,10.85
194,Borba,BR,2021-04-13 06:18:38,-4.3878,-59.5939,72.64,97,81,0.87
195,Shelburne,CA,2021-04-13 06:15:03,44.0787,-80.2041,46.99,100,100,5.55
196,Amahai,ID,2021-04-13 06:18:38,-3.3333,128.9167,84.72,71,53,8.46
197,Kathu,TH,2021-04-13 06:18:39,7.9178,98.3332,89.6,58,20,12.66
198,Tevriz,RU,2021-04-13 06:18:39,57.509,72.4042,45.7,65,24,10.29
199,Itarema,BR,2021-04-13 06:18:39,-2.9248,-39.9167,75.6,91,30,8.1
200,Longyearbyen,SJ,2021-04-13 06:15:02,78.2186,15.6401,14.0,62,75,13.8
201,Iqaluit,CA,2021-04-13 06:18:40,63.7506,-68.5145,23.0,86,90,29.93
202,Kangaatsiaq,GL,2021-04-13 06:18:40,68.3065,-53.4641,31.64,96,100,28.79
203,Yanam,IN,2021-04-13 06:18:40,16.7333,82.2167,89.6,55,40,5.75
204,Cidreira,BR,2021-04-13 06:18:41,-30.1811,-50.2056,66.96,73,21,3.67
205,Rovinj,HR,2021-04-13 06:18:41,45.08,13.64,48.2,87,90,24.16
206,Ribeira Grande,PT,2021-04-13 06:18:41,38.5167,-28.7,60.8,94,75,25.32
207,Leningradskiy,RU,2021-04-13 06:18:42,69.3833,178.4167,4.51,86,100,10.29
208,Yablonovo,RU,2021-04-13 06:18:42,50.8523,37.3574,57.2,58,0,17.9
209,Esperance,AU,2021-04-13 06:18:42,-33.8667,121.9,62.6,59,75,23.02
210,Anchorage,US,2021-04-13 06:15:27,61.2181,-149.9003,39.2,65,90,4.61
211,Saint Joseph,US,2021-04-13 06:18:43,39.7686,-94.8466,46.99,70,1,5.75
212,Flinders,AU,2021-04-13 06:18:43,-34.5833,150.8552,72.0,56,25,4.0
213,Fukue,JP,2021-04-13 06:18:43,32.6881,128.8419,62.6,72,40,14.97
214,Katsuura,JP,2021-04-13 06:18:44,35.1333,140.3,64.4,77,75,19.57
215,Pinheiro Machado,BR,2021-04-13 06:18:44,-31.5783,-53.3811,55.0,100,0,8.01
216,Maniitsoq,GL,2021-04-13 06:18:44,65.4167,-52.9,28.62,74,82,8.1
217,Aklavik,CA,2021-04-13 06:18:45,68.2191,-135.0107,24.8,54,94,2.3
218,Zaysan,KZ,2021-04-13 06:18:45,47.4667,84.8667,56.89,22,0,7.7
219,Superior,US,2021-04-13 06:16:25,46.7208,-92.1041,37.4,93,90,10.36
220,Axim,GH,2021-04-13 06:16:16,4.8699,-2.2405,80.26,86,100,7.31
221,Eyl,SO,2021-04-13 06:18:46,7.9803,49.8164,83.82,56,57,9.69
222,Lungaog,PH,2021-04-13 06:18:46,7.5294,125.6878,91.4,55,40,5.75
223,Red Bluff,US,2021-04-13 06:18:46,40.1785,-122.2358,57.2,41,1,4.61
224,Bilibino,RU,2021-04-13 06:18:47,68.0546,166.4372,5.47,81,65,1.66
225,Lompoc,US,2021-04-13 06:18:47,34.6391,-120.4579,51.8,82,58,8.05
226,Husavik,IS,2021-04-13 06:18:47,66.0449,-17.3389,41.0,60,0,18.41
227,Asmar,AF,2021-04-13 06:18:47,35.0333,71.3581,72.99,36,100,3.89
228,Portland,US,2021-04-13 06:18:47,45.5234,-122.6762,57.2,19,1,12.66
229,Namibe,AO,2021-04-13 06:18:48,-15.1961,12.1522,80.38,70,10,5.88
230,Naantali,FI,2021-04-13 06:18:48,60.4674,22.0243,37.99,93,0,6.91
231,Mana,GF,2021-04-13 06:18:49,5.6592,-53.7767,76.62,90,92,7.67
