false,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Samarinda,ID,76.87,moderate rain,-0.5,117.15,Aston Samarinda Hotel & Convention Center
372,Napasar,IN,84.78,few clouds,27.9667,73.55,Laxmi Palace
373,Camacari,BR,80.6,few clouds,-12.6975,-38.3242,Hotel Cambuci
375,Bontang,ID,75.7,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
376,Khandbari,NP,83.03,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
377,Abonnema,NG,75.2,light rain,4.7084,6.7931,Corper's Lodge Obonoma
386,Patiya,BD,86.0,haze,22.2931,91.9762,R Village
388,Quang Ngai,VN,87.6,few clouds,15.1167,108.8,Central Hotel
390,Roebourne,AU,84.96,broken clouds,-20.7833,117.1333,Harding River Caravan Park
391,Puerto Escondido,MX,80.6,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
394,Mecca,SA,75.54,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
396,Axim,GH,79.61,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
402,Fort Abbas,PK,82.49,overcast clouds,29.1925,72.8536,AsAd's House
405,Hobyo,SO,81.36,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
406,Sinnamary,GF,78.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
421,Tancanhuitz,MX,77.04,overcast clouds,21.6,-98.9667,Sierra Bugambilias
424,Gayeri,BF,86.11,broken clouds,12.6497,0.4931,
425,Hirara,JP,78.8,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
428,Santa Rosa,PH,88.0,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
429,Diamantino,BR,76.03,overcast clouds,-14.4086,-56.4461,Hotel Delta
431,Amboasary,MG,77.0,few clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
438,Sur,OM,85.77,clear sky,22.5667,59.5289,Sur Plaza Hotel
439,San Patricio,US,75.99,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
451,Ngawi,ID,83.61,broken clouds,-7.4038,111.4461,GWA KOST NGAWI (dpan Klurahan Ketanggi) 63211 ; 081234123860
459,Matamoros,MX,86.0,clear sky,25.5333,-103.25,Quinta Belem
461,Tautira,PF,80.6,broken clouds,-17.7333,-149.15,Pension Oaoa
462,Charters Towers,AU,83.98,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
463,Kihei,US,78.8,scattered clouds,20.785,-156.4656,Maui Sunset
469,Zhuhai,CN,79.0,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
474,Takoradi,GH,79.47,overcast clouds,4.8845,-1.7554,Raybow International Hotel
475,Camocim,BR,76.19,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
479,Port-Gentil,GA,81.01,overcast clouds,-0.7193,8.7815,Fengshui Residence
483,Tiarei,PF,80.6,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
489,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
495,Abu Dhabi,AE,80.6,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
498,Port Hedland,AU,87.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
502,Padang,ID,82.69,broken clouds,-0.9492,100.3543,Mercure Padang
504,Nioro,GM,76.24,clear sky,13.35,-15.75,
506,Hambantota,LK,84.2,few clouds,6.1241,81.1185,Bungalow 63
515,Amuntai,ID,89.17,overcast clouds,-2.4177,115.2494,Hotel Balqis
521,Pasighat,IN,87.13,overcast clouds,28.0667,95.3333,Siang Guest House
529,Sitrah,BH,75.2,clear sky,26.1547,50.6206,Al Bander Resort - منتجع البندر
536,Matara,LK,82.58,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
550,Benemerito De Las Americas,MX,77.61,overcast clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
558,Islamkot,PK,80.35,clear sky,24.6997,70.177,Haji Hotel
567,Honiara,SB,83.59,broken clouds,-9.4333,159.95,Heritage Park Hotel
573,Iracoubo,GF,77.67,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
576,Wau,SS,76.86,few clouds,7.7029,27.9953,Universal Gab Hotel
579,Doha,QA,78.8,clear sky,25.2867,51.5333,Movenpick Hotel Doha
586,Puerto Narino,CO,75.2,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
589,Celestun,MX,79.9,broken clouds,20.8667,-90.4,Posada Lilia
593,Thinadhoo,MV,82.08,scattered clouds,0.5333,72.9333,
599,Yaan,NG,76.03,overcast clouds,7.3833,8.5667,
604,Kollam,IN,84.2,haze,8.8833,76.6,Nani Hotels and Resorts
605,Minab,IR,78.8,broken clouds,27.1467,57.0801,Bam campground
609,Davila,PH,86.0,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
611,Morondava,MG,75.74,few clouds,-20.2833,44.2833,La Case Bambou
612,Mareeba,AU,87.01,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
615,Bodden Town,KY,80.01,few clouds,19.2833,-81.25,Will T Place
621,Moerai,PF,78.48,moderate rain,-22.4333,-151.3333,Le Manotel
622,Omboue,GA,75.88,overcast clouds,-1.5746,9.2618,Hotel Olako
624,Trincomalee,LK,83.14,overcast clouds,8.5711,81.2335,Welcombe Hotel
627,Alofi,NU,80.6,scattered clouds,-19.0595,-169.9187,Taloa Heights
628,Pochutla,MX,80.01,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
630,Fomboni,KM,82.67,light rain,-12.28,43.7425,Relais Singani
636,Kharian,PK,75.2,haze,32.8149,73.8636,Jungle Hut - Pabbi Forest Park
637,Trairi,BR,75.67,broken clouds,-3.2778,-39.2689,janelas do mar
643,Sijunjung,ID,83.41,light rain,-0.6876,100.9537,Hotel Bukik Gadang
644,Brownsville,US,78.8,broken clouds,25.9018,-97.4975,University Inn & Suites
650,Faanui,PF,82.13,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
660,Aransas Pass,US,77.0,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
662,Razole,IN,84.2,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
676,Banyuwangi,ID,87.22,scattered clouds,-8.2325,114.3576,Hotel Blambangan
678,Tessalit,ML,82.85,clear sky,20.1986,1.0114,
681,Ambon,ID,89.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
684,Ponnani,IN,75.2,heavy intensity rain,10.767,75.9252,Rouba Residency
685,Pouebo,NC,79.45,overcast clouds,-20.4,164.5667,Rural Family Home De Pouébo
686,Makakilo City,US,80.01,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
689,Xichang,CN,75.63,clear sky,27.8964,102.2634,Xichang ibis Hotel
691,Byron Bay,AU,82.4,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
694,Teahupoo,PF,80.6,broken clouds,-17.8333,-149.2667,Vanira Lodge
699,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
